epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.2822,1.09185,2.95226,1.24408,0.00397,0.96154,0.47526,0.31562,1.03128,3.28725,1.24343,8e-05,8e-05,8e-05
2,68.4462,1.04938,2.30569,1.21917,0.00413,1,0.65725,0.46714,0.86107,3.05343,1.12163,0.000178218,0.000178218,0.000178218
3,111.655,0.98571,1.59991,1.1736,1,0.54516,0.79438,0.55112,0.97672,2.76168,1.15899,0.000274456,0.000274456,0.000274456
4,139.316,0.94153,1.48664,1.09546,1,0.46246,0.81394,0.5732,0.9217,2.79478,1.12978,0.000368714,0.000368714,0.000368714
5,164.972,0.93474,1.48768,1.15764,0.9443,0.65219,0.79789,0.6009,1.05533,2.67666,1.25941,0.000460992,0.000460992,0.000460992
6,192.16,0.92495,1.35587,1.10978,0.90497,0.65385,0.8023,0.60224,1.06298,2.5254,1.2638,0.00055129,0.00055129,0.00055129
7,219.014,0.89826,1.25251,1.0807,0.97788,0.65385,0.78232,0.59355,1.00479,2.54854,1.21952,0.000639608,0.000639608,0.000639608
8,246.019,0.90062,1.19742,1.11538,0.89224,0.53846,0.65203,0.44445,1.07892,2.85557,1.2848,0.000725946,0.000725946,0.000725946
9,272.694,0.88028,1.2118,1.09991,0.8678,0.50525,0.64265,0.4485,1.0748,3.01371,1.30229,0.000810304,0.000810304,0.000810304
10,299.08,0.89553,1.24163,1.07585,0.71433,0.5,0.61443,0.40163,1.17169,2.96196,1.33443,0.000892682,0.000892682,0.000892682
11,326.702,0.85043,1.17936,1.07116,0.86354,0.57692,0.70542,0.4843,1.14793,2.61375,1.26797,0.00097308,0.00097308,0.00097308
12,353.482,0.86405,1.18511,1.11507,0.89291,0.64185,0.78741,0.53397,1.13272,2.53576,1.25004,0.0010515,0.0010515,0.0010515
13,379.918,0.91601,1.15399,1.10505,0.86311,0.72766,0.80107,0.52948,1.23196,2.3612,1.30229,0.00112794,0.00112794,0.00112794
14,627.455,0.85989,1.14757,1.06627,0.85066,0.73077,0.75736,0.55505,1.07741,2.19997,1.23317,0.00120239,0.00120239,0.00120239
15,654.154,0.89707,1.15625,1.07652,0.94618,0.67669,0.78212,0.54749,1.10019,2.08815,1.29329,0.00127487,0.00127487,0.00127487
16,681.284,0.90599,1.15203,1.09953,0.89378,0.64756,0.77113,0.52035,1.11582,2.05877,1.30235,0.00134537,0.00134537,0.00134537
17,706.856,0.8949,1.08486,1.10969,0.62829,0.61538,0.67028,0.48105,1.07876,2.04122,1.33691,0.00141389,0.00141389,0.00141389
18,727.505,0.83946,1.02481,1.04694,0.88757,0.60762,0.71939,0.51424,1.09543,1.93329,1.36414,0.00148043,0.00148043,0.00148043
19,748.177,0.80372,1.01971,1.03217,0.79346,0.73077,0.77031,0.55024,1.09853,1.87774,1.32284,0.00154498,0.00154498,0.00154498
20,768.986,0.88048,1.0919,1.0523,0.94303,0.65385,0.72509,0.52834,1.227,2.80387,1.49637,0.00160756,0.00160756,0.00160756
21,789.631,0.87522,1.04711,1.07371,0.87289,0.53846,0.63716,0.46938,1.17555,3.55554,1.34667,0.001604,0.001604,0.001604
22,810.111,0.85764,0.96863,1.05414,0.92952,0.61538,0.6873,0.49918,1.16214,2.49173,1.27631,0.0015842,0.0015842,0.0015842
23,830.827,0.89153,1.05998,1.07145,0.94656,0.6817,0.74627,0.54301,1.15635,1.80012,1.25491,0.0015644,0.0015644,0.0015644
24,851.719,0.7621,0.92792,1.03972,0.80877,0.69231,0.72948,0.53202,1.08946,1.91572,1.20456,0.0015446,0.0015446,0.0015446
25,872.443,0.73982,0.95988,0.99429,0.84924,0.61538,0.71327,0.54684,1.13416,1.89278,1.33394,0.0015248,0.0015248,0.0015248
26,892.85,0.80389,0.91082,1.06556,0.92671,0.65385,0.77913,0.56996,1.1211,1.72199,1.30412,0.001505,0.001505,0.001505
27,913.214,0.75233,0.82542,0.99684,0.97391,0.61538,0.7639,0.53662,1.22582,1.70235,1.40374,0.0014852,0.0014852,0.0014852
28,934.298,0.79292,0.84601,1.06221,1,0.68632,0.78977,0.55276,1.17401,1.43348,1.34061,0.0014654,0.0014654,0.0014654
29,957.268,0.76645,0.86447,1.03862,0.89361,0.76923,0.81856,0.59338,1.11586,1.32631,1.26525,0.0014456,0.0014456,0.0014456
30,981.328,0.84509,0.90222,1.06084,0.86236,0.80769,0.80847,0.54919,1.13109,1.44549,1.27027,0.0014258,0.0014258,0.0014258
31,1005.73,0.75143,0.85749,1.01101,0.8459,0.76923,0.78156,0.54235,1.1783,1.57002,1.30027,0.001406,0.001406,0.001406
32,1039.85,0.71907,0.79903,0.98496,0.82982,0.69231,0.76772,0.55596,1.12156,1.98413,1.2054,0.0013862,0.0013862,0.0013862
33,1080.81,0.76611,0.80606,1.02264,0.87422,0.69231,0.77618,0.53917,1.15968,2.23258,1.21576,0.0013664,0.0013664,0.0013664
34,1123.03,0.83477,0.89626,1.10071,0.7219,0.61538,0.66759,0.51371,1.14705,2.26432,1.2888,0.0013466,0.0013466,0.0013466
35,1157.63,0.76422,0.83067,1.07611,0.85551,0.57692,0.61496,0.47431,1.14067,2.04368,1.26365,0.0013268,0.0013268,0.0013268
36,1180.57,0.68891,0.80195,1.00227,0.8884,0.61253,0.65444,0.47842,1.22247,1.77257,1.33042,0.001307,0.001307,0.001307
37,1203.41,0.76515,0.84187,1.01479,1,0.65265,0.73875,0.51404,1.26898,1.60957,1.33776,0.0012872,0.0012872,0.0012872
38,1225.21,0.79796,0.77941,1.07778,1,0.67991,0.76242,0.53641,1.15683,1.45517,1.25381,0.0012674,0.0012674,0.0012674
39,1246.21,0.77953,0.79035,1.03397,0.86874,0.76389,0.80986,0.61044,1.06902,1.32478,1.22962,0.0012476,0.0012476,0.0012476
40,1267.31,0.69073,0.72912,0.97173,0.94895,0.71542,0.78339,0.59699,1.05921,1.2873,1.2225,0.0012278,0.0012278,0.0012278
41,1288.43,0.68451,0.70462,0.98859,0.93676,0.69231,0.77804,0.60267,1.05305,1.27204,1.21399,0.001208,0.001208,0.001208
42,1311.63,0.67742,0.68266,0.95804,0.94294,0.76923,0.78701,0.60396,0.98304,1.16784,1.19943,0.0011882,0.0011882,0.0011882
43,1334.21,0.66664,0.69223,0.97076,1,0.74348,0.79669,0.63085,1.01231,1.09536,1.23282,0.0011684,0.0011684,0.0011684
44,1355.74,0.64556,0.66687,0.97066,0.99616,0.76923,0.79633,0.60742,1.0259,1.098,1.19941,0.0011486,0.0011486,0.0011486
45,1376.76,0.65572,0.64533,0.97255,0.9955,0.76923,0.79815,0.61282,0.96785,1.14398,1.11596,0.0011288,0.0011288,0.0011288
46,1398.2,0.66183,0.65851,0.99544,0.97982,0.76923,0.79246,0.61266,1.04038,1.14962,1.16099,0.001109,0.001109,0.001109
47,1422.68,0.66391,0.64524,0.97948,0.87696,0.76923,0.77221,0.60271,1.10598,1.20181,1.25319,0.0010892,0.0010892,0.0010892
48,1447.68,0.73464,0.70616,0.97131,0.90882,0.76686,0.77954,0.59442,1.09168,1.09353,1.24444,0.0010694,0.0010694,0.0010694
49,1481.85,0.75335,0.71025,0.99838,0.90361,0.76923,0.78044,0.60061,1.03682,1.08695,1.18285,0.0010496,0.0010496,0.0010496
50,1517.92,0.6825,0.68267,0.99379,0.92849,0.69231,0.76588,0.5819,1.09693,1.16261,1.23981,0.0010298,0.0010298,0.0010298
51,1557.35,0.68689,0.69184,1.00433,0.87637,0.73077,0.77595,0.59108,1.05953,1.15034,1.19717,0.00101,0.00101,0.00101
52,1598.76,0.65406,0.62895,0.96594,1,0.65169,0.76571,0.5951,1.0269,1.04844,1.16475,0.0009902,0.0009902,0.0009902
53,1645.52,0.68904,0.65349,0.97855,0.99225,0.61538,0.76054,0.57456,1.07798,1.07167,1.19866,0.0009704,0.0009704,0.0009704
54,1696.47,0.65742,0.64184,0.97139,0.99353,0.61538,0.75608,0.56954,1.07511,1.13906,1.17983,0.0009506,0.0009506,0.0009506
55,1756.43,0.64287,0.61451,0.95738,0.92942,0.65385,0.75256,0.57675,1.07546,1.19308,1.19988,0.0009308,0.0009308,0.0009308
56,1802.79,0.63988,0.61762,0.98043,0.96485,0.65385,0.72833,0.57531,1.07552,1.20568,1.20688,0.000911,0.000911,0.000911
57,1828.29,0.652,0.58721,0.95166,0.96258,0.65385,0.7437,0.59012,0.99942,1.18312,1.18132,0.0008912,0.0008912,0.0008912
58,1855.03,0.67969,0.62615,0.99421,0.95017,0.65385,0.75036,0.60807,0.97669,1.1375,1.2057,0.0008714,0.0008714,0.0008714
59,1882.79,0.64081,0.5933,0.96291,0.90392,0.72394,0.80099,0.63874,0.95362,1.07231,1.19677,0.0008516,0.0008516,0.0008516
60,1908.75,0.64477,0.57241,0.95287,1,0.76349,0.83355,0.65085,0.93088,0.98303,1.17762,0.0008318,0.0008318,0.0008318
